School,Major,Planned_Enrollment_2020,Grade_Line_2020,Rank_2020,Planned_Enrollment_2021,Grade_Line_2021,Rank_2021,Planned_Enrollment_2022,Grade_Line_2022,Rank_2022,Level,First_Class,Property,Average_Rank
沈阳理工大学,电子信息工程,1,563,62821,1,548,63158,1,567,39731,省重点,none,公办,55237
安徽师范大学,电子信息类,4,570,54831,none,none,none,4,552,56671,省重点,none,公办,55751
长春理工大学,电子信息科学与技术,6,569,56177,4,553,56280,2,553,55027,省重点,none,公办,55828
湖南科技大学,风景园林,2,569,56266,2,556,53749,1,552,56714,省重点,none,公办,55576
浙江农林大学,园艺,none,none,none,none,none,none,1,553,55871,省重点,none,公办,55871
沈阳航空航天大学,工业工程,1,580,44382,1,558,51050,1,554,54800,none,none,公办,50077
青岛大学,工业设计,23,577,47381,23,558,50423,23,555,53369,省重点,none,公办,50391
江苏科技大学,工业工程,2,577,47296,2,559,50317,3,554,54166,省重点,none,公办,50593
浙江农林大学,工业设计,none,none,none,1,559,49630,2,556,51843,省重点,none,公办,50737
华侨大学,工业设计,none,none,none,none,none,none,3,557,51153,"全国重点,省重点",none,公办,51153
中国民航大学,工业工程(航空维修工程与管理),none,none,none,8,555,54785,none,none,none,省重点,none,公办,54785
上海工程技术大学,工业设计,none,none,none,none,none,none,2,553,55166,none,none,公办,55166
中国民航大学,工业工程(航空维修工程),none,none,none,none,none,none,8,553,55552,省重点,none,公办,55552
山西医科大学,眼视光学,1,585,38891,1,555,54052,1,545,65885,省重点,none,公办,52943
青岛大学,化学工程与工艺,37,576,48402,37,558,51101,32,555,53401,省重点,none,公办,50968
西安科技大学,能源化学工程,3,575,49654,3,558,50829,4,554,54512,省重点,none,公办,51665
西安科技大学,化学工程与工艺,2,575,49154,2,557,51950,2,553,55202,省重点,none,公办,52102
常州大学,化学工程与工艺,2,575,49193,10,554,55179,2,552,57041,省重点,none,公办,53804
山东师范大学,化学工程与工艺(地方专项计划),none,none,none,none,none,none,7,554,53950,省重点,none,公办,53950
黑龙江大学,化学工程与工艺,2,570,54734,2,557,51954,2,553,55861,none,none,公办,54183
青海大学,化学工程与工艺(卓越工程师),none,none,none,4,554,55332,4,554,54714,211,一流学科,公办,55023
昆明理工大学,化学工程与工艺,3,574,50274,4,554,55626,2,550,59801,省重点,none,公办,55234
北华航天工业学院,机械设计制造及其自动化,1,579,45240,2,560,48395,2,552,56767,none,none,公办,50134
三峡大学,机械设计制造及其自动化,2,576,47958,10,557,51684,5,556,51463,省重点,none,公办,50368
青海大学,机械设计制造及其自动化,6,571,53560,14,559,49355,14,558,49744,211,一流学科,公办,50886
长春理工大学,机械设计制造及其自动化,3,573,51285,3,559,49924,5,556,52113,省重点,none,公办,51107
常州大学,机械电子工程,none,none,none,2,557,52536,none,none,none,省重点,none,公办,52536
上海海事大学,机械电子工程(中外合作办学),6,574,49987,6,557,51824,6,552,56348,省重点,none,公办,52720
南通大学,机械设计制造及其自动化,3,570,55204,3,557,52191,3,556,51840,省重点,none,公办,53078
湖南科技大学,机械设计制造及其自动化,2,570,54624,2,555,54679,3,557,50169,省重点,none,公办,53157
青岛大学,机械工程,220,570,54456,62,557,52246,62,555,52773,省重点,none,公办,53158
沈阳工业大学,机械设计制造及其自动化,5,574,50710,5,557,52392,6,552,56390,省重点,none,公办,53164
贵州大学,机械设计制造及其自动化(中外合作办学),none,none,none,none,none,none,7,555,53207,211,一流学科,公办,53207
西安石油大学,机械电子工程,2,557,70852,2,566,42104,2,560,47254,none,none,公办,53403
南昌航空大学,机械电子工程,2,572,52396,2,557,52581,4,553,55257,省重点,none,公办,53411
华东交通大学,机械设计制造及其自动化,4,572,52189,4,555,54017,5,553,55270,省重点,none,公办,53825
山东科技大学,机械设计制造及其自动化,96,571,53795,121,554,55188,131,552,56854,省重点,none,公办,55279
东北电力大学,机械类,15,571,53963,15,552,57600,none,none,none,省重点,none,公办,55782
石河子大学,机械设计制造及其自动化,none,none,none,none,none,none,4,553,55809,211,一流学科,公办,55809
四川师范大学,计算机类,6,572,53021,3,558,50992,2,561,46026,省重点,none,公办,50013
南京工程学院,计算机科学与技术,4,569,55508,2,558,50562,2,560,46971,none,none,公办,51014
河北师范大学,计算机类,6,575,48899,11,558,51045,11,555,53466,省重点,none,公办,51137
广东海洋大学,计算机科学与技术,1,566,58901,1,562,46587,2,559,48009,省重点,none,公办,51166
长江大学,计算机类,4,573,51758,6,558,51173,8,555,52719,省重点,none,公办,51883
安徽理工大学,计算机科学与技术,2,571,53167,6,556,52701,2,557,50343,省重点,none,公办,52070
中北大学,计算机类,12,572,52292,none,none,none,none,none,none,省重点,none,公办,52292
中北大学,计算机科学与技术,none,none,none,18,556,52807,8,556,52491,省重点,none,公办,52649
中南林业科技大学,计算机类,none,none,none,2,555,54041,3,556,51770,省重点,none,公办,52906
重庆师范大学,计算机类,4,570,54442,5,556,52863,5,556,51703,省重点,none,公办,53003
安徽师范大学,计算机科学与技术,4,571,53390,5,555,54744,2,557,50991,省重点,none,公办,53042
天津理工大学,计算机科学与技术(中外合作办学),15,572,52618,15,556,53200,15,555,53384,none,none,公办,53067
大连大学,计算机科学与技术,5,570,54419,5,555,54162,3,556,51979,省重点,none,公办,53520
浙江科技学院,计算机类,3,571,53616,3,555,54073,none,none,none,none,none,公办,53845
济南大学,计算机类,102,568,56516,64,556,53649,93,556,51578,省重点,none,公办,53914
石家庄铁道大学,计算机类,11,571,53358,11,555,54322,18,553,55845,全国重点,none,公办,54508
哈尔滨师范大学,计算机科学与技术,none,none,none,none,none,none,3,553,55275,省重点,none,公办,55275
山东财经大学,计算机类,140,571,53537,160,554,55215,175,551,57572,省重点,none,公办,55441
江西理工大学,计算机类,2,569,55433,3,554,55599,2,553,55401,省重点,none,公办,55478
浙江外国语学院,计算机科学与技术,none,none,none,2,555,53903,4,551,57884,none,none,公办,55894
山东建筑大学,建筑学,49,577,47568,47,560,48973,48,553,56245,省重点,none,公办,50929
重庆交通大学,建筑类,none,none,none,5,559,49474,3,555,53284,省重点,none,公办,51379
西安科技大学,建筑环境与能源应用工程,2,576,47992,2,558,50705,2,552,56628,省重点,none,公办,51775
中南林业科技大学,建筑类,2,575,49221,2,557,52079,2,554,54192,省重点,none,公办,51831
哈尔滨理工大学,建筑学,2,574,50714,3,556,53292,2,554,54655,省重点,none,公办,52887
沈阳建筑大学,建筑电气与智能化,1,572,52963,1,556,52974,1,554,54072,省重点,none,公办,53336
四川美术学院,建筑学,2,574,49788,2,556,53602,2,552,56868,省重点,none,公办,53419
新疆大学,建筑学,2,563,63763,3,559,50056,3,559,47904,211,一流大学,公办,53908
南通大学,建筑学,2,571,53283,2,556,52800,2,553,55768,省重点,none,公办,53950
湖南科技大学,建筑学,2,573,51767,2,555,54857,2,550,59382,省重点,none,公办,55335
西安石油大学,新能源科学与工程,1,571,53373,1,560,48868,2,558,49691,none,none,公办,50644
哈尔滨理工大学,能源与动力工程,2,575,48886,3,558,50420,2,555,53027,省重点,none,公办,50778
西安科技大学,能源化学工程,3,575,49654,3,558,50829,4,554,54512,省重点,none,公办,51665
西安科技大学,建筑环境与能源应用工程,2,576,47992,2,558,50705,2,552,56628,省重点,none,公办,51775
西安科技大学,新能源材料与器件,none,none,none,2,556,53022,2,554,54547,省重点,none,公办,53785
常州大学,能源与动力工程,none,none,none,2,556,53805,2,554,54798,省重点,none,公办,54302
青岛大学,能源与动力工程(地方专项计划),10,569,55385,10,555,54506,10,555,53260,省重点,none,公办,54384
天津财经大学,金融学(中外合作办学)(能源金融),13,575,49344,13,555,54503,13,550,59939,省重点,none,公办,54595
浙江海洋大学,能源与动力工程,2,571,53927,2,554,55548,none,none,none,省市共建,none,公办,54738
湖北工业大学,能源经济,2,572,52955,5,555,54513,2,551,57626,省重点,none,公办,55031
重庆理工大学,新能源科学与工程,2,570,54686,3,554,55499,none,none,none,省重点,none,公办,55093
青海大学,新能源材料与器件,4,568,57200,8,554,55244,8,555,52865,211,一流学科,公办,55103
浙江传媒学院,软件工程(传媒大数据),2,574,50023,3,559,49859,3,556,51566,none,none,公办,50483
山东科技大学,软件工程(地方专项计划),21,568,56790,20,563,45107,none,none,none,省重点,none,公办,50949
重庆邮电大学,软件工程(中外合作办学),15,575,48830,15,557,52480,15,554,54085,省重点,none,公办,51798
安徽师范大学,软件工程,none,none,none,none,none,none,2,555,52808,省重点,none,公办,52808
安徽理工大学,软件工程,2,569,55580,4,554,55450,2,557,50452,省重点,none,公办,53827
福建师范大学,软件工程,6,568,56825,4,558,51363,none,none,none,省重点,none,公办,54094
深圳技术大学,生物医学工程,3,572,53013,4,558,51267,4,558,49417,none,none,公办,51232
昆明理工大学,生物工程(创新班),2,574,50178,3,556,52788,3,552,57082,省重点,none,公办,53349
辽宁科技大学,生物工程,1,556,72712,1,568,40437,1,560,47202,none,none,公办,53450
湖南中医药大学,生物工程,1,574,50472,1,555,54690,3,548,61877,省重点,none,公办,55680
常州大学,生物医学工程,none,none,none,2,554,55742,none,none,none,省重点,none,公办,55742
西安石油大学,石油工程,2,572,52171,2,557,52477,2,557,51214,none,none,公办,51954
山东师范大学,通信工程(地方专项计划),9,569,55412,8,559,49820,8,560,46974,省重点,none,公办,50735
山东科技大学,通信工程,70,573,51481,62,558,50825,58,557,50215,省重点,none,公办,50840
延边大学,通信工程(中外合作办学),3,574,50605,3,556,53517,5,554,54901,211,一流学科,公办,53008
南京工程学院,通信工程,4,568,56518,2,556,53374,2,556,52160,none,none,公办,54017
湖南科技大学,通信工程,none,none,none,none,none,none,2,554,54898,省重点,none,公办,54898
西安石油大学,通信工程,1,566,59213,1,555,54778,1,556,51699,none,none,公办,55230
大连海事大学,土木工程(中外合作办学),7,575,49588,8,560,48319,8,556,52227,211,一流学科,公办,50045
沈阳建筑大学,土木工程,3,575,48943,2,558,50840,2,557,50751,省重点,none,公办,50178
华侨大学,土木类,6,581,42933,9,559,50054,12,551,58607,"全国重点,省重点",none,公办,50531
长沙理工大学,土木工程(创新人才培养班),none,none,none,none,none,none,1,557,51097,省重点,none,公办,51097
山西大学,土木工程,none,none,none,none,none,none,5,556,51635,省重点,一流学科,公办,51635
浙江农林大学,土木工程,1,579,45306,1,558,50831,1,549,60842,省重点,none,公办,52326
中国民航大学,土木工程,6,573,51978,4,557,51702,4,553,55141,省重点,none,公办,52940
常州大学,土木工程,2,569,55396,none,none,none,none,none,none,省重点,none,公办,55396
华东交通大学,土木工程,4,575,48912,10,555,54134,12,547,63947,省重点,none,公办,55664
北京服装学院,广告学,2,572,52828,3,555,54958,3,553,56035,none,none,公办,54607
西安建筑科技大学,汉语国际教育,2,575,49300,4,561,47255,2,555,53627,省重点,none,公办,50061
曲阜师范大学,汉语言文学(师范类，地方专项计划),none,none,none,4,558,51503,10,559,48773,省重点,none,公办,50138
西北师范大学,汉语国际教育(师范类),none,none,none,none,none,none,2,556,51583,省重点,none,公办,51583
湖北师范大学,汉语国际教育(师范类),2,571,53600,2,555,54124,2,560,47586,none,none,公办,51770
淮北师范大学,汉语言文学(师范类),1,567,57958,1,560,49181,2,559,48344,省重点,none,公办,51828
云南师范大学,汉语言文学(师范类),none,none,none,4,555,54119,4,557,51358,省重点,none,公办,52739
西安石油大学,汉语言文学,2,566,59950,2,559,50253,2,558,49798,none,none,公办,53334
吉林师范大学,汉语言文学(师范类),2,569,56466,2,556,53802,2,557,51184,省重点,none,公办,53817
河南师范大学,汉语国际教育(师范类),4,570,55216,5,555,54963,5,553,55760,省重点,none,公办,55313
青岛科技大学,汉语言文学,22,567,58051,20,555,54389,20,555,53707,省重点,none,公办,55382
河北师范大学,学前教育(师范类),4,575,49568,3,563,45407,4,553,55126,省重点,none,公办,50034
西安建筑科技大学,汉语国际教育,2,575,49300,4,561,47255,2,555,53627,省重点,none,公办,50061
黑龙江大学,教育学,2,578,45885,4,561,47576,7,552,57459,none,none,公办,50307
天津外国语大学,教育技术学,2,586,37746,2,558,50710,1,547,63017,省重点,none,公办,50491
集美大学,学前教育(师范类),none,none,none,2,559,49585,2,556,51579,省重点,none,公办,50582
南通大学,教育技术学(师范类),2,571,53789,2,561,48085,2,557,50114,省重点,none,公办,50663
广西师范大学,思想政治教育(师范类),4,569,56316,2,560,49052,2,560,47666,省重点,none,公办,51011
南通大学,小学教育(师范类),none,none,none,4,559,50337,4,556,52327,省重点,none,公办,51332
西北师范大学,汉语国际教育(师范类),none,none,none,none,none,none,2,556,51583,省重点,none,公办,51583
长江大学,电子信息类(教育部卓越工程师、省支柱产业人才培养计划),none,none,none,none,none,none,4,556,51743,省重点,none,公办,51743
湖北师范大学,汉语国际教育(师范类),2,571,53600,2,555,54124,2,560,47586,none,none,公办,51770
长江大学,电子信息类(国家一流专业、教育部卓越工程师培养计划),none,none,none,4,557,52229,none,none,none,省重点,none,公办,52229
江西师范大学,小学教育(师范类),none,none,none,none,none,none,5,555,53553,省重点,none,公办,53553
长江大学,教育学类(师范类),none,none,none,none,none,none,4,555,53696,省重点,none,公办,53696
山西师范大学,思想政治教育(师范类),none,none,none,3,555,53953,3,555,53762,省重点,none,公办,53858
浙江外国语学院,小学教育(师范类),none,none,none,none,none,none,2,554,54656,none,none,公办,54656
石河子大学,教育学(师范类),none,none,none,4,555,53867,5,553,55734,211,一流学科,公办,54801
四川师范大学,学前教育,none,none,none,2,557,52551,2,551,57507,省重点,none,公办,55029
曲阜师范大学,思想政治教育(师范类),none,none,none,100,555,55009,142,553,55072,省重点,none,公办,55041
河南师范大学,汉语国际教育(师范类),4,570,55216,5,555,54963,5,553,55760,省重点,none,公办,55313
湖北师范大学,教育学类(师范类),2,569,56404,2,554,55460,2,554,54936,none,none,公办,55600
济南大学,思想政治教育(师范类),19,568,57591,24,556,53698,46,552,56365,省重点,none,公办,55885
长江大学,历史学(师范类),none,none,none,2,559,50194,none,none,none,省重点,none,公办,50194
哈尔滨师范大学,历史学(师范类),2,572,52742,2,558,51370,3,556,51739,省重点,none,公办,51950
山西师范大学,历史学(师范类),none,none,none,2,555,54274,2,555,52954,省重点,none,公办,53614
曲阜师范大学,历史学(地方专项计划),4,571,53922,none,none,none,none,none,none,省重点,none,公办,53922
云南师范大学,历史学(师范类),none,none,none,2,556,53618,2,553,55948,省重点,none,公办,54783
广西师范大学,历史学(师范类),2,569,56235,2,556,53406,4,554,54837,省重点,none,公办,54826
曲阜师范大学,历史学(师范类，地方专项计划),none,none,none,4,555,53981,10,553,55733,省重点,none,公办,54857
四川外国语大学,社会学类,none,none,none,2,561,47189,2,555,53377,none,none,公办,50283
新疆大学,社会学,2,567,58759,4,562,46636,4,560,46963,211,一流大学,公办,50786
常州大学,社会工作,2,577,47361,2,560,48851,4,552,56757,省重点,none,公办,50990
华侨大学,行政管理(数字政府治理、社会福利、公共危机管理方向),none,none,none,none,none,none,4,557,51344,"全国重点,省重点",none,公办,51344
新疆大学,劳动与社会保障,none,none,none,4,556,52958,4,557,50316,211,一流大学,公办,51637
天津理工大学,社会工作,6,575,49606,5,558,51352,5,552,56782,none,none,公办,52580
安徽师范大学,社会学类,4,573,51799,5,555,54725,4,552,57293,省重点,none,公办,54606
中南民族大学,社会学类,none,none,none,none,none,none,3,554,54883,省重点,none,公办,54883
福建医科大学,应用心理学,none,none,none,none,none,none,1,557,50172,省重点,none,公办,50172
黑龙江大学,应用心理学,5,574,50414,4,557,51882,2,558,49818,none,none,公办,50705
西北师范大学,心理学类(师范类),none,none,none,3,558,50794,none,none,none,省重点,none,公办,50794
山东师范大学,心理学类(地方专项计划),3,574,50209,8,557,51689,8,557,51111,省重点,none,公办,51003
安徽师范大学,心理学(师范类),5,573,51977,5,556,52715,2,558,49198,省重点,none,公办,51297
湖北师范大学,应用心理学(师范类),2,567,57748,2,563,45929,2,557,51230,none,none,公办,51636
北京师范大学-香港浸会大学联合国际学院,应用心理学(中外合作办学),2,581,43184,3,559,49991,5,548,62513,none,none,内地与港澳台地区合作办学,51896
湖南科技大学,应用心理学(师范类),2,572,52383,2,557,51800,2,553,56170,省重点,none,公办,53451
华北理工大学,应用心理学,3,573,50934,6,556,53207,4,550,58835,省重点,none,公办,54325
哈尔滨师范大学,心理学(师范类),3,570,55024,3,556,53739,4,551,57983,省重点,none,公办,55582
西安石油大学,新闻学,2,572,53092,2,559,49595,2,558,49715,none,none,公办,50801
湖南科技大学,新闻学,2,572,52447,2,560,48607,2,556,51491,省重点,none,公办,50848
南昌航空大学,新闻学,1,574,50059,4,558,51212,2,556,52566,省重点,none,公办,51279
西南民族大学,新闻传播学类,none,none,none,none,none,none,3,555,52974,none,none,公办,52974
石河子大学,新闻学,none,none,none,4,557,52504,4,555,53590,211,一流学科,公办,53047
长江大学,新闻传播学类,none,none,none,5,552,58379,1,558,49215,省重点,none,公办,53797
西北师范大学,新闻学,none,none,none,2,557,52359,3,553,56238,省重点,none,公办,54299
北京联合大学,英语,5,575,49081,4,560,49278,4,555,52745,none,none,公办,50368
南昌航空大学,英语(科技英语),1,574,50649,none,none,none,none,none,none,省重点,none,公办,50649
青岛大学,英语(师范类),10,579,45428,none,none,none,60,552,56797,省重点,none,公办,51113
济南大学,英语(师范兼非师范类),41,573,51957,48,558,51453,none,none,none,省重点,none,公办,51705
西北师范大学,英语(师范类),none,none,none,none,none,none,4,556,51715,省重点,none,公办,51715
沈阳航空航天大学,英语,2,574,50102,2,558,51317,2,553,55965,none,none,公办,52461
吉林师范大学,英语(师范类),2,572,52970,3,556,53232,3,554,54470,省重点,none,公办,53557
四川外国语大学,商务英语(中外合作办学),10,577,47531,8,559,50274,7,547,63710,none,none,公办,53838
中国石油大学(北京)克拉玛依校区,英语,6,564,61451,6,558,51488,5,559,48823,211,一流学科,公办,53921
北京物资学院,商务英语(实验班),2,573,51919,2,557,52249,1,550,59169,none,none,公办,54446
山西财经大学,商务英语,2,573,51416,2,556,53034,2,550,59923,省重点,none,公办,54791
山东科技大学,英语,106,570,55199,none,none,none,none,none,none,省重点,none,公办,55199
湖北师范大学,商务英语,2,570,55296,none,none,none,none,none,none,none,none,公办,55296
重庆理工大学,商务英语,2,571,53222,2,555,54197,3,551,58669,省重点,none,公办,55363
三峡大学,英语,2,569,55777,none,none,none,none,none,none,省重点,none,公办,55777
西北师范大学,哲学,3,569,55411,2,556,53810,none,none,none,省重点,none,公办,54611
青岛大学,国际政治(地方专项计划),5,571,54097,5,561,48107,5,558,50051,省重点,none,公办,50752
广西师范大学,思想政治教育(师范类),4,569,56316,2,560,49052,2,560,47666,省重点,none,公办,51011
山西师范大学,思想政治教育(师范类),none,none,none,3,555,53953,3,555,53762,省重点,none,公办,53858
曲阜师范大学,思想政治教育(师范类),none,none,none,100,555,55009,142,553,55072,省重点,none,公办,55041
济南大学,思想政治教育(师范类),19,568,57591,24,556,53698,46,552,56365,省重点,none,公办,55885
石河子大学,政治学与行政学,none,none,none,6,553,57129,6,554,54710,211,一流学科,公办,55920
江苏大学,护理学,none,none,none,3,558,50777,none,none,none,"全国重点,省重点",none,公办,50777
浙江中医药大学,护理学,1,590,34762,none,none,none,6,544,68197,省重点,none,公办,51480
南通大学,护理学,2,572,52846,2,559,49634,2,553,56198,省重点,none,公办,52893
潍坊医学院,口腔医学,48,569,55456,48,560,48168,72,560,47035,none,none,公办,50220
湖北医药学院,口腔医学,none,none,none,1,556,52766,1,557,50213,none,none,公办,51490
西藏大学,口腔医学,none,none,none,1,544,69396,1,568,39000,211,一流学科,公办,54198
陕西中医药大学,中西医临床医学,1,569,55641,2,560,48635,2,560,46835,none,none,公办,50370
河南科技大学,临床医学,8,570,54340,11,557,51716,11,556,51674,省重点,none,公办,52577
新疆医科大学,临床医学(“5+3一体化”儿科学),2,564,61894,none,none,none,2,563,44118,省重点,none,公办,53006
哈尔滨理工大学,制药工程,2,573,51299,none,none,none,none,none,none,省重点,none,公办,51299
沈阳药科大学,中药学(日语强化班),3,578,46125,3,557,52447,3,553,55853,省重点,none,公办,51475
昆明理工大学,制药工程,2,574,50103,2,558,50464,2,553,55334,省重点,none,公办,51967
西安建筑科技大学,化工与制药类,3,575,49557,3,558,51060,4,553,56098,省重点,none,公办,52238
南通大学,药物制剂,4,572,52612,none,none,none,none,none,none,省重点,none,公办,52612
山东师范大学,化工与制药类(地方专项计划),8,571,53819,7,557,52375,none,none,none,省重点,none,公办,53097
北京联合大学,制药工程,2,571,53735,none,none,none,none,none,none,none,none,公办,53735
锦州医科大学,药学,2,571,53662,2,556,52934,2,553,55767,none,none,公办,54121
南京工业大学,制药工程(中外合作办学),3,573,52008,3,554,56176,3,553,55194,省重点,none,公办,54459
哈尔滨医科大学,药物制剂,4,575,49241,5,556,53291,6,549,60870,省重点,none,公办,54467
武汉工程大学,药物制剂,none,none,none,none,none,none,3,554,54593,none,none,公办,54593
湖北中医药大学,药物制剂,none,none,none,2,557,52511,3,551,57520,省重点,none,公办,55016
重庆理工大学,药学类,4,568,56606,2,555,54673,2,553,55588,省重点,none,公办,55622
山西医科大学,预防医学,4,576,47800,4,560,48744,3,553,55762,省重点,none,公办,50769
福建医科大学,卫生检验与检疫,2,574,50338,2,558,51131,2,554,54812,省重点,none,公办,52094
山西中医药大学,中医学(5+3一体化),4,571,54179,4,561,47607,none,none,none,none,none,公办,50893
华北理工大学,中医学,4,575,49586,6,557,51723,3,555,53135,省重点,none,公办,51481
湖南中医药大学,中医康复学,1,570,54537,1,554,55080,1,555,53171,省重点,none,公办,54263
河北中医学院,中医学(5+3一体化),4,563,63896,4,557,52676,4,560,47445,none,none,公办,54672
甘肃中医药大学,中医学(5+3一体化),3,563,63620,3,555,53937,3,560,47362,none,none,公办,54973
湖南中医药大学,中医养生学,3,575,49559,3,555,53861,3,548,61823,省重点,none,公办,55081
湖南中医药大学,中医骨伤科学,none,none,none,2,555,54241,2,552,56546,省重点,none,公办,55394
