major,school,plan,rank
08机械设计制造及其自动化(智能制造方向),A490武汉工程大学,4,43701
10教育学,B846广东外语外贸大学,1,43709
2D智能科学与技术,B065青岛大学,68,43715
38思想政治教育(师范类),A513湖北师范大学,2,43729
0K翻译,A320江苏师范大学,2,43732
46机械设计制造及其自动化,A057天津科技大学,4,43748
32数学类,A618重庆交通大学,3,43761
46地理科学(师范类),A370安徽师范大学,2,43764
1W应用物理学(中外合作办学),A080河北工业大学,2,43776
1B环境科学与工程类,A616成都理工大学,2,43813
1R生物科学类,A445山东师范大学,140,43820
3G植物保护,A589海南大学,5,43832
14材料科学与工程,A356中国计量大学,4,43834
46财务管理(中外合作办学)(与英国萨里大学合作办学),A173东北财经大学,13,43843
08交通运输,A703西安建筑科技大学,2,43872
0S财务管理,B417北京联合大学,2,43877
34物联网工程,A421江西财经大学,5,43886
01材料科学与工程,A700西安理工大学,2,43901
3P材料化学,A126内蒙古大学,3,43937
04工业设计,B232北京信息科技大学,3,43940
A1法学,B075三峡大学,2,43942
07机械工程,A385华侨大学,3,43945
0Y外国语言文学类,A094河北师范大学,5,43956
08电气工程及其自动化(卓越工程师计划试点班),A259上海应用技术大学,3,43991
04植物生产类(2),A224东北农业大学,8,44016
52金融学(中外合作办学)(与英国奥斯特大学合作办学),A173东北财经大学,7,44019
0A日语,A172大连外国语大学,9,44022
6K生物科学,A755新疆大学,8,44023
13医学检验技术,A571广东医科大学,3,44032
46虚拟现实技术,A421江西财经大学,2,44034
1F土木工程(中外合作办学),A290中国矿业大学,8,44042
14动物生产类,A224东北农业大学,6,44047
0P食品科学与工程类,A011北京工商大学,5,44054
12临床医学,A716陕西中医药大学,3,44069
1C植物科学与技术,A475河南大学,2,44080
83建筑学,A674昆明理工大学,2,44081
25储能科学与工程,A615西南石油大学,4,44088
28行政管理,A560汕头大学,2,44095
67翻译,A390集美大学,3,44096
44安全工程(中外合作办学),A613西南交通大学,4,44102
03金融工程,A320江苏师范大学,3,44110
D4思想政治教育,H414中国石油大学(北京)克拉玛依校区,6,44111
56生物工程,A353浙江工商大学,4,44117
02临床医学(“5+3一体化”儿科学),A760新疆医科大学,2,44118
34行政管理,B065青岛大学,13,44134
13野生动物与自然保护区管理,A225东北林业大学,4,44145
68工业设计,A530湘潭大学,4,44146
2U新闻传播学类,A414江西师范大学,4,44156
0F汉语国际教育,A636四川师范大学,2,44158
0C行政管理,B047上海立信会计金融学院,2,44170
1K哲学(地方专项计划),A445山东师范大学,4,44196
0Q飞行器设计与工程,A406南昌航空大学,4,44198
21土木工程,A564华南农业大学,1,44208
34公共管理类,A216燕山大学,4,44244
0F测控技术与仪器,A616成都理工大学,12,44252
1C应用化学,A346杭州师范大学,2,44271
30国际经济与贸易,A536长沙理工大学,2,44291
52生物科学(师范类),A370安徽师范大学,2,44293
01机械设计制造及其自动化,A500湖北工业大学,4,44296
0W会计学(英国高等教育文凭项目),A749宁夏大学,5,44326
1J学前教育(师范类),A475河南大学,5,44345
08外国语言文学类,A524中南民族大学,4,44351
30装甲车辆工程,A144沈阳理工大学,1,44362
09社会工作,B846广东外语外贸大学,2,44363
29传播学,A063天津中医药大学,5,44366
40网络与新媒体,A125山西财经大学,1,44385
82智能科学与技术,A188东北电力大学,4,44392
4K冶金工程,A657贵州大学,3,44405
Z2机械设计制造及其自动化(中外合作办学),A151大连海事大学,8,44416
81环境科学与工程,A616成都理工大学,2,44417
1P数字经济,B047上海立信会计金融学院,1,44423
11统计学,A621成都信息工程大学,2,44442
28电子信息工程(地方专项计划),B065青岛大学,5,44456
4E工程管理,A126内蒙古大学,5,44478
04服装设计与工程,A058天津工业大学,2,44480
1K行政管理,A320江苏师范大学,3,44489
0V材料科学与工程,A616成都理工大学,4,44491
09中药资源与开发,A633成都中医药大学,2,44498
46土木工程,A700西安理工大学,4,44506
88中西医临床医学,A081华北理工大学,3,44515
82环境工程,A530湘潭大学,4,44521
0C电子信息工程,A759石河子大学,4,44522
10过程装备与控制工程,A615西南石油大学,6,44540
67市场营销,A065天津师范大学,2,44566
29轻化工程,A298南京林业大学,10,44569
21家具设计与工程,A298南京林业大学,4,44596
22自动化,A674昆明理工大学,3,44638
36数学与应用数学,A703西安建筑科技大学,2,44640
0Q应用化学(日化方向),A011北京工商大学,6,44655
48城乡规划,A743青海大学,2,44658
29自然地理与资源环境,A108山西大学,3,44664
32医学实验技术,A344浙江中医药大学,2,44689
02中医学(5+3一体化，专业硕士儿科学),A228黑龙江中医药大学,2,44693
51经济学(中外合作办学)(与加拿大西安大略大学国王大学学院合作办学),A173东北财经大学,2,44714
39化学(师范类),A304南通大学,4,44716
17物流管理,A299江苏大学,3,44735
0C电气工程及其自动化,A404华东交通大学,10,44739
0K农林经济管理,A749宁夏大学,2,44792
31信息与计算科学,A214哈尔滨理工大学,2,44793
80土木工程,A530湘潭大学,6,44801
0Z自动化,B065青岛大学,150,44806
21化工与制药类,A536长沙理工大学,2,44814
36财务管理,A057天津科技大学,3,44856
4T风景园林,A341浙江农林大学,2,44861
13机械电子工程,A704西安科技大学,2,44862
0N生物技术,A633成都中医药大学,3,44870
0Q信息安全,A424山东科技大学,48,44889
19机械设计制造及其自动化(卓越工程师班),A534湖南科技大学,1,44898
8G经济学(中外合作办学)(中美合作),A270上海师范大学,6,44907
30预防医学,A313徐州医科大学,2,44913
17环境工程,A615西南石油大学,4,44915
05基础医学,A114山西医科大学,2,44920
20交通工程,A150大连交通大学,2,44928
23管理科学与工程类,A173东北财经大学,3,44939
57汉语言文学(师范类),A534湖南科技大学,1,44951
16金融工程(中外合作办学),B287南京审计大学,2,44952
36地理科学类(地方专项计划),A445山东师范大学,15,44958
CQ人工智能,A304南通大学,2,44966
1U电子信息工程(中外合作办学),A291南京工业大学,3,44973
1D制药工程,A346杭州师范大学,2,44984
57机械类,A536长沙理工大学,6,44985
23材料成型及控制工程,A615西南石油大学,3,44986
27计算机类,A708陕西科技大学,3,45001
0L电子商务类,A011北京工商大学,5,45002
3T机器人工程,A755新疆大学,7,45010
17教育技术学(师范类，地方专项计划),A445山东师范大学,3,45024
50城乡规划,A700西安理工大学,2,45032
24教育学类(师范类),A637重庆师范大学,2,45042
48经济学,A637重庆师范大学,2,45051
Z5植物科学与技术(中外合作办学),A635西南大学,7,45057
69新能源材料与器件,A075河北大学,3,45066
30水文与水资源工程,A700西安理工大学,2,45070
45车辆工程(中外合作办学),A710长安大学,10,45080
0A药学,A392福建医科大学,2,45083
J5化学工程与工艺,B845广东工业大学,2,45087
H1计算机科学与技术(中外合作办学),A225东北林业大学,13,45090
19金融学,A456山东财经大学,160,45092
3M化学工程与工艺,A749宁夏大学,5,45100
1N工业设计,A490武汉工程大学,3,45102
04水产养殖学(拔尖人才创新班),B646宁波大学,3,45110
07机械工程,A150大连交通大学,3,45126
2R生物科学,A636四川师范大学,2,45129
30食品科学与工程,A445山东师范大学,8,45131
0J计算机类,A404华东交通大学,5,45132
09机械工程,A615西南石油大学,5,45135
05石油工程,A616成都理工大学,6,45143
36历史学(师范类),A513湖北师范大学,1,45147
42动物医学,A749宁夏大学,4,45151
0K管理科学,A327南京财经大学,3,45161
5G物理学,A755新疆大学,6,45201
1Y材料物理(中外合作办学),A080河北工业大学,2,45218
0F通信工程,A406南昌航空大学,2,45243
9M地理信息科学,A755新疆大学,5,45270
37工商管理类,A445山东师范大学,30,45273
3M生物科学类(地方专项计划),A445山东师范大学,8,45282
1A新闻传播学类,A094河北师范大学,5,45344
A7眼视光医学,A752宁夏医科大学,1,45365
0M汉语言文学,A424山东科技大学,28,45370
E4供应链管理,A592广东财经大学,1,45377
37商务英语,A421江西财经大学,3,45381
0F应用统计学,B047上海立信会计金融学院,4,45389
0V地理信息科学,A320江苏师范大学,2,45397
1P地理科学类,A094河北师范大学,4,45408
47工商管理类,B846广东外语外贸大学,8,45411
22会计学,A304南通大学,2,45412
07基础医学,A392福建医科大学,1,45440
38行政管理,B078广州大学,4,45441
04医学技术类,A277上海体育学院,4,45445
10匈牙利语,A068天津外国语大学,1,45452
2B公共管理类,A445山东师范大学,25,45467
33商务英语,A304南通大学,2,45470
37软件工程,A065天津师范大学,20,45481
6M自然地理与资源环境,A755新疆大学,2,45492
13新闻学,B417北京联合大学,2,45500
05日语,E275浙江外国语学院,2,45523
27法学,A513湖北师范大学,2,45535
21健康服务与管理,A572广州中医药大学,2,45551
54教育学,A650四川外国语大学,2,45579
29人工智能,A674昆明理工大学,2,45596
10给排水科学与工程,A703西安建筑科技大学,6,45601
2X林学,A589海南大学,8,45620
32智能医学工程,A216燕山大学,2,45633
0B护理学,A315南京中医药大学,10,45693
54国际经济与贸易,A755新疆大学,3,45696
09法语,A216燕山大学,2,45711
21通信工程,B065青岛大学,77,45712
ZS生物工程,A163沈阳药科大学,1,45719
44国际商务,A592广东财经大学,1,45726
41化学(师范类),A370安徽师范大学,2,45728
0S新能源材料与器件(光电与智能材料方向),A490武汉工程大学,2,45730
D1经济学类,H414中国石油大学(北京)克拉玛依校区,13,45734
44道路桥梁与渡河工程(中外合作办学),A710长安大学,10,45747
20电气工程及其自动化(中外合作办学),A058天津工业大学,10,45748
15国际政治,A755新疆大学,3,45750
14应用化学,A289江苏科技大学,2,45757
0S精算学,B047上海立信会计金融学院,6,45759
12机械设计制造及其自动化,A704西安科技大学,2,45764
08建筑学,A704西安科技大学,2,45767
31数据科学与大数据技术(地方专项计划),A445山东师范大学,6,45770
1G历史学类,A414江西师范大学,12,45780
36金融学类(中外合作办学),F302西交利物浦大学,31,45784
1R工科试验班(电子信息与电气自动化),A059中国民航大学,51,45801
4J物流管理,A126内蒙古大学,6,45807
78环境科学与工程类,A075河北大学,2,45812
0D计算机科学与技术,B417北京联合大学,2,45836
71英语,A700西安理工大学,5,45843
12公共事业管理,A631重庆医科大学,1,45866
0W药学,B065青岛大学,56,45875
31测控技术与仪器,A536长沙理工大学,2,45892
4B园艺,A126内蒙古大学,3,45895
43数学与应用数学(师范类),A513湖北师范大学,3,45899
01数学与应用数学,A702西安工业大学,2,45900
24机械类,A703西安建筑科技大学,8,45909
23通信工程(中外合作办学),A058天津工业大学,12,45930
21材料科学与工程,A615西南石油大学,5,45936
0D医学影像技术,A507湖北中医药大学,3,45938
94应用化学(中外合作办学),A300南京信息工程大学,2,45944
26化学类,A108山西大学,12,45960
0U会计学,A404华东交通大学,2,45961
28计算机类,A619西南科技大学,5,45969
16土木类,A338浙江理工大学,3,45975
31测绘工程,A615西南石油大学,4,45981
29生物工程,A332苏州科技大学,2,45999
48能源动力类,A108山西大学,5,46008
35金融学类,A057天津科技大学,4,46010
08生物医学工程,A617重庆邮电大学,3,46019
08地质工程,A616成都理工大学,8,46023
11计算机类,A636四川师范大学,2,46026
51智慧建筑与建造,A108山西大学,2,46028
30制药工程,A057天津科技大学,4,46035
07应用气象学(机场气象预报、航空公司气象分析),A624中国民用航空飞行学院,1,46044
0M空间信息与数字技术,A621成都信息工程大学,2,46047
29信息安全,A534湖南科技大学,1,46053
19环境工程,A289江苏科技大学,2,46057
19计算机类,B799重庆工商大学,3,46098
41药学(生物与医药方向),A385华侨大学,3,46101
28城市地下空间工程,A291南京工业大学,4,46103
10土木工程,A332苏州科技大学,4,46104
0L法学,A226哈尔滨医科大学,2,46105
53测控技术与仪器,A108山西大学,1,46114
0J德语,A172大连外国语大学,8,46123
30物联网工程,A534湖南科技大学,2,46137
11能源与环境系统工程,A143沈阳航空航天大学,1,46138
29会计学(智能会计),A037北京物资学院,1,46147
35物流管理,A749宁夏大学,3,46151
12药学,A678昆明医科大学,1,46158
03资源勘查工程,A616成都理工大学,3,46177
33新能源科学与工程,B065青岛大学,36,46186
C1数学与应用数学,H414中国石油大学(北京)克拉玛依校区,5,46196
2F计算机科学与技术,A426青岛科技大学,62,46233
0L建筑类,A490武汉工程大学,3,46241
0N机械设计制造及其自动化(中外合作办学)(合作高校为德国富特旺根应用,A252上海理工大学,4,46243
16车辆工程,A150大连交通大学,4,46247
30经济学类,A385华侨大学,10,46251
0A工科试验班(航空航天),A059中国民航大学,21,46252
1Q心理学类,A445山东师范大学,50,46266
10新能源科学与工程,A143沈阳航空航天大学,2,46282
41环保设备工程,A299江苏大学,2,46294
11信息安全,A595桂林电子科技大学,2,46306
21食品卫生与营养学,A344浙江中医药大学,2,46310
0W会计学(含大数据会计、智能财务方向),A490武汉工程大学,4,46325
46网络与新媒体,A702西安工业大学,2,46338
07应用化学,A560汕头大学,4,46347
14金融学类,A456山东财经大学,145,46357
0P英语(中外合作办学)(中美合作),A252上海理工大学,5,46375
38会计学,A069天津商业大学,3,46402
0N测控技术与仪器,A143沈阳航空航天大学,1,46407
85油气储运工程,A616成都理工大学,2,46418
2T金融学类,A445山东师范大学,60,46422
18数学与应用数学(吴方班),A424山东科技大学,30,46442
06轻化工程,A338浙江理工大学,3,46447
43统计学(地方专项计划),A445山东师范大学,6,46453
49车辆工程(城市轨道交通车辆),A856上海工程技术大学,2,46464
05工商管理类,A277上海体育学院,2,46466
17保险学,A075河北大学,2,46475
1A审计学,A636四川师范大学,2,46481
35工业工程,A216燕山大学,2,46494
29数据科学与大数据技术,A344浙江中医药大学,2,46506
26汉语言文学(师范类),Y017青岛大学,65,46518
51金融科技,A650四川外国语大学,1,46539
7H英语(师范类),A231哈尔滨师范大学,3,46541
1J英语(含文化传播、英语教育、商务方向),A490武汉工程大学,4,46543
0Q生物科学类,A094河北师范大学,4,46544
53地理科学类,A637重庆师范大学,2,46551
36护理学,A184延边大学,3,46561
1Z预防医学,A346杭州师范大学,10,46566
14法学,B066烟台大学,158,46598
26土木工程,A536长沙理工大学,7,46599
35汉语言文学(网络文学与创意写作),B647浙江传媒学院,2,46604
1Q会计学(地方专项计划),B065青岛大学,5,46607
56英语,A341浙江农林大学,2,46615
66数字经济,A536长沙理工大学,2,46616
0J俄语,A320江苏师范大学,2,46640
16工商管理,A636四川师范大学,2,46665
56小学教育(师范类),A650四川外国语大学,2,46666
0K智能医学工程,A392福建医科大学,2,46667
61数据科学与大数据技术,A674昆明理工大学,3,46680
50材料科学与工程,A564华南农业大学,1,46683
2Y人工智能(地方专项计划),A445山东师范大学,6,46685
0Q环境科学,A445山东师范大学,8,46723
0W麻醉学,A439山东第一医科大学,60,46739
40物理学(师范类),A637重庆师范大学,5,46742
12大数据管理与应用,B799重庆工商大学,1,46743
89物流管理,A616成都理工大学,4,46772
08城市地下空间工程,A615西南石油大学,3,46779
10俄语,A108山西大学,2,46798
2D思想政治教育(师范类),A476河南师范大学,5,46809
42道路桥梁与渡河工程,A126内蒙古大学,5,46813
29审计学,A125山西财经大学,3,46815
1D应用化学,A490武汉工程大学,5,46824
21中西医临床医学,A716陕西中医药大学,2,46835
03中医学,A809山西中医药大学,4,46851
5Y人工智能,B660重庆理工大学,2,46855
03材料物理,A700西安理工大学,2,46872
10预防医学,A598广西医科大学,2,46879
27铁道工程,A291南京工业大学,2,46888
14建筑电气与智能化,A703西安建筑科技大学,4,46895
41动物科学(卓越农林人才计划),A749宁夏大学,4,46902
11环境工程,A703西安建筑科技大学,3,46903
30土木工程,A615西南石油大学,6,46904
2Q通信工程(地方专项计划),B065青岛大学,5,46907
04资源勘查工程,A615西南石油大学,4,46910
0S化妆品技术与工程,A011北京工商大学,5,46911
28食品科学与工程,A108山西大学,3,46937
A4光电信息科学与工程,A186长春理工大学,5,46942
0P飞行器动力工程,A406南昌航空大学,3,46951
41社会学,A755新疆大学,4,46963
22计算机科学与技术,B276南京工程学院,2,46971
21通信工程(地方专项计划),A445山东师范大学,8,46974
4J市场营销(中外合作办学),A264上海海洋大学,5,46987
D2会计学,H414中国石油大学(北京)克拉玛依校区,7,47008
1F电子信息工程,A424山东科技大学,102,47028
06数据科学与大数据技术,A277上海体育学院,2,47029
12口腔医学,A438潍坊医学院,72,47035
15人工智能,A259上海应用技术大学,4,47049
1F能源与动力工程,A490武汉工程大学,5,47055
27医学信息工程,A344浙江中医药大学,2,47072
4H教育技术学,A749宁夏大学,3,47087
04制药工程,A490武汉工程大学,3,47101
07电气工程及其自动化(中外合作办学),A188东北电力大学,30,47112
AG软件工程,A755新疆大学,59,47114
16日语,A616成都理工大学,5,47123
0H电气类,A107石家庄铁道大学,12,47138
52电气工程及其自动化(中外合作办学),A536长沙理工大学,5,47164
43医学检验技术,A160锦州医科大学,1,47178
05勘查技术与工程,A615西南石油大学,4,47191
94水产养殖学,A564华南农业大学,4,47192
18微电子科学与工程,B065青岛大学,83,47196
12生物工程,A146辽宁科技大学,1,47202
12交通运输,E655深圳技术大学,2,47235
59历史学(师范类),A534湖南科技大学,1,47237
5R机械类,A755新疆大学,16,47242
02材料成型及控制工程,A700西安理工大学,4,47245
36机械电子工程,A705西安石油大学,2,47254
33大数据管理与应用,A703西安建筑科技大学,3,47257
63工商管理类,A743青海大学,6,47284
83市场营销(中外合作办学),A140辽宁大学,5,47297
44工商管理类,A385华侨大学,5,47306
59人文地理与城乡规划(中外合作办学)(中法合作),B646宁波大学,6,47311
01中医学(5+3一体化),A735甘肃中医药大学,3,47362
2B机械设计制造及其自动化,A107石家庄铁道大学,3,47374
23自动化,A424山东科技大学,106,47381
12法语,A512湖北大学,4,47382
10会计学,B065青岛大学,110,47402
ZS会计学,A636四川师范大学,2,47413
26生物科学类,A490武汉工程大学,3,47428
5W电气工程及其自动化,B660重庆理工大学,5,47429
0A汉语言文学(师范类),A446曲阜师范大学,218,47441
79医学检验技术,A304南通大学,4,47443
01中医学(5+3一体化),E432河北中医学院,4,47445
30财务管理,A037北京物资学院,1,47446
52中西医临床医学,A489长江大学,1,47452
D5计算机科学与技术,A142沈阳工业大学,6,47453
AE数据科学与大数据技术,A534湖南科技大学,1,47454
0R保险学,B047上海立信会计金融学院,2,47476
33生物科学类(中外合作办学),F302西交利物浦大学,9,47485
23社会工作,A637重庆师范大学,2,47506
1E光电信息科学与工程,B065青岛大学,26,47512
11机械类,A618重庆交通大学,6,47513
0Q安全工程,A059中国民航大学,6,47523
0H医学影像技术,A392福建医科大学,2,47527
01纺织工程,A058天津工业大学,6,47552
0P法学,A292常州大学,2,47561
45环境工程(中外合作办学),A613西南交通大学,4,47568
01思想政治教育,A524中南民族大学,3,47576
40汉语国际教育(师范类),A513湖北师范大学,2,47586
0C化学(师范类),A476河南师范大学,5,47592
26卫生检验与检疫,A344浙江中医药大学,2,47612
27土木类,A216燕山大学,6,47618
0U地理信息科学,A636四川师范大学,2,47623
05法学,C453中国劳动关系学院,6,47624
16药学,A598广西医科大学,2,47630
W4英语,A704西安科技大学,2,47648
47戏剧影视文学,A140辽宁大学,4,47649
0G医学检验技术,A392福建医科大学,2,47651
4T行政管理(中外合作办学),A589海南大学,5,47661
11思想政治教育(师范类),A602广西师范大学,2,47666
1Z历史学(师范类),A759石河子大学,4,47678
19应用心理学,A117长治医学院,1,47686
AB法学,A484河南财经政法大学,7,47706
12应用心理学,A507湖北中医药大学,2,47717
16汉语言文学,A404华东交通大学,2,47721
31戏剧影视文学(影视策划与制片),A331南京艺术学院,1,47740
11劳动与社会保障(康养金融),A421江西财经大学,3,47754
16世界史,A370安徽师范大学,2,47756
25电气类,A708陕西科技大学,3,47804
12计算机科学与技术(实验班),A037北京物资学院,1,47807
22油气储运工程,A705西安石油大学,1,47813
EG电子信息类,A212黑龙江大学,2,47825
07机械类,A289江苏科技大学,10,47827
D3通信工程,A186长春理工大学,2,47836
8W建筑学,A755新疆大学,3,47904
2S心理学类,A414江西师范大学,10,47924
2Z园艺,A589海南大学,8,47925
0G物联网工程,A424山东科技大学,52,47928
0E电子信息工程,A406南昌航空大学,4,47936
12信息与计算科学,A143沈阳航空航天大学,2,47946
0U电子商务(国家级一流本科专业),A490武汉工程大学,2,47984
28生物技术,A332苏州科技大学,2,47988
06化学,A094河北师范大学,5,47992
09材料化学,A059中国民航大学,2,47995
Y3计算机科学与技术,A566广东海洋大学,2,48009
09电气工程及其自动化,A702西安工业大学,2,48025
5K物联网工程,A341浙江农林大学,1,48032
5F电子信息类,B660重庆理工大学,4,48036
0B勘查技术与工程,A616成都理工大学,5,48045
Z6动物科学(中外合作办学),A635西南大学,7,48073
43工业设计,A703西安建筑科技大学,2,48075
22环境工程,A536长沙理工大学,2,48081
37物理学(师范类),A370安徽师范大学,2,48083
09过程装备与控制工程(含智能装备与控制、新能源装备方向),A490武汉工程大学,4,48091
08经济学,A370安徽师范大学,2,48094
37网络空间安全,A759石河子大学,2,48099
30资源循环科学与工程,A108山西大学,2,48107
16物理学(师范类),A094河北师范大学,5,48112
04电气工程及其自动化,A595桂林电子科技大学,2,48116
19高分子材料与工程,A057天津科技大学,4,48139
19轻工类,A593广西大学,20,48143
3D工商管理,B065青岛大学,38,48147
14印度尼西亚语,A068天津外国语大学,1,48154
7D旅游管理类,A270上海师范大学,10,48167
54材料类,A536长沙理工大学,5,48179
4G地理信息科学,A341浙江农林大学,3,48192
23自动化,A534湖南科技大学,1,48206
0T工业工程,A755新疆大学,2,48210
53国民经济管理(数字化治理和投资管理),A421江西财经大学,2,48214
18应用物理学,E655深圳技术大学,2,48241
92环境工程(中外合作办学),A300南京信息工程大学,2,48247
05金融学,B065青岛大学,67,48250
C2统计学,H414中国石油大学(北京)克拉玛依校区,6,48251
08地下水科学与工程(中外合作办学),A491中国地质大学(武汉),6,48262
17通信工程,A214哈尔滨理工大学,2,48266
37木材科学与工程(中外合作办学),A022北京林业大学,3,48277
13电子信息工程,A320江苏师范大学,3,48278
24储能科学与工程,A188东北电力大学,3,48284
73材料类,A075河北大学,3,48285
A2电子科学与技术,A186长春理工大学,2,48297
G2电气工程及其自动化(中外合作办学),B075三峡大学,2,48301
3S食品科学与工程(地方专项计划),A445山东师范大学,3,48316
12汉语言文学(师范类),A373淮北师范大学,2,48344
04审计学,A456山东财经大学,100,48351
30光电信息科学与工程,A214哈尔滨理工大学,2,48359
09交通工程,A703西安建筑科技大学,3,48362
08新能源科学与工程,E655深圳技术大学,3,48371
0R数学与应用数学(师范类),A094河北师范大学,8,48376
44农学,A341浙江农林大学,1,48387
31生物技术,A344浙江中医药大学,2,48388
53数据计算及应用,A856上海工程技术大学,4,48395
1V农业资源与环境,A589海南大学,2,48404
6H化学,A755新疆大学,6,48406
1W机器人工程,B065青岛大学,61,48409
38大数据管理与应用,A259上海应用技术大学,3,48410
0R药学类,A573广东药科大学,4,48421
49人工智能,A595桂林电子科技大学,2,48455
5R智能科学与技术,B660重庆理工大学,3,48459
32工程管理,A615西南石油大学,4,48472
1D生物技术,B065青岛大学,37,48488
90飞行器控制与信息工程,A674昆明理工大学,2,48501
95新能源材料与器件,A188东北电力大学,2,48514
02历史学(师范),A489长江大学,1,48521
52日语,A332苏州科技大学,2,48532
08德语,A216燕山大学,2,48550
0Q材料物理(半导体芯片制造方向),A490武汉工程大学,2,48569
03地理信息科学,A736西北师范大学,2,48577
3D机械设计制造及其自动化(中外合作办学),A112太原理工大学,10,48580
04环境科学与工程类,A332苏州科技大学,4,48585
0J信息管理与信息系统,B047上海立信会计金融学院,2,48587
5F应用统计学,A341浙江农林大学,1,48596
3B标准化工程,B065青岛大学,21,48601
0A小学教育,A636四川师范大学,2,48621
0S化学,A636四川师范大学,4,48658
8K计算机科学与技术(中外合作办学)(中法合作),A270上海师范大学,6,48669
91中国语言文学类,B075三峡大学,2,48674
2X信息管理与信息系统,B065青岛大学,23,48686
14法学,A404华东交通大学,3,48699
36汉语言文学,B647浙江传媒学院,5,48730
20车辆工程(卓越计划班),A732兰州交通大学,2,48744
42旅游管理,A184延边大学,8,48745
02工业设计,A057天津科技大学,3,48753
1Y生物科学(师范类),A414江西师范大学,9,48755
13医学检验技术,A598广西医科大学,2,48758
16汉语言文学(师范类，地方专项计划),A446曲阜师范大学,10,48773
1Z历史学(师范类),A427济南大学,33,48788
11中国语言文学类,A656西南民族大学,3,48801
0F西班牙语,B065青岛大学,13,48802
02经济学,A212黑龙江大学,2,48808
YJ港口航道与海岸工程(卓越班),A536长沙理工大学,4,48813
C3英语,H414中国石油大学(北京)克拉玛依校区,5,48823
43机械工程(卓工超豪示范班),A351温州大学,2,48838
K4法学,A203吉林师范大学,1,48841
8J经济学(中外合作办学)(中法合作),A270上海师范大学,6,48845
1T电气工程与智能控制(中外合作办学),A254上海海事大学,5,48859
40汉语国际教育,A057天津科技大学,5,48867
74行政管理,A212黑龙江大学,3,48885
C0材料成型及控制工程,A060天津理工大学,3,48904
1A数学与应用数学(师范类),A759石河子大学,5,48920
16会计学,B560西安财经大学,2,48941
1H地理科学(师范类),A759石河子大学,3,48943
43农业资源与环境,A749宁夏大学,3,48960
87机械设计制造及其自动化(中外合作办学),A530湘潭大学,3,48999
5M电子信息工程,A341浙江农林大学,2,49009
12数学与应用数学(中外合作办学)(2加2),F301宁波诺丁汉大学,3,49028
0K电子信息科学与技术,A424山东科技大学,50,49045
09计算机科学与技术(中外合作办学),F301宁波诺丁汉大学,9,49047
49传播学(中外合作办学),B647浙江传媒学院,5,49055
0C数据科学与大数据技术,B417北京联合大学,1,49068
12物联网工程,A595桂林电子科技大学,2,49070
04金融学类,B799重庆工商大学,5,49084
09地下水科学与工程,A616成都理工大学,4,49086
20中药学,A743青海大学,2,49107
0J食品科学与工程类,A327南京财经大学,8,49113
09光电信息科学与工程,A304南通大学,2,49124
1P会计学,A424山东科技大学,29,49144
49集成电路设计与集成系统,A351温州大学,1,49153
34测绘工程,A704西安科技大学,2,49162
01临床医学,A661遵义医科大学,9,49164
05经济学类,A524中南民族大学,5,49170
W4英语,A703西安建筑科技大学,2,49174
03管理科学与工程类,B482浙江财经大学,2,49175
47汉语国际教育(商务方向),A421江西财经大学,4,49185
22心理学(师范类),A370安徽师范大学,2,49198
01新闻传播学类,A489长江大学,1,49215
28土木工程,A150大连交通大学,2,49247
06电子信息类,A595桂林电子科技大学,7,49264
1Y财务管理,A456山东财经大学,100,49265
09机械设计制造及其自动化,A406南昌航空大学,2,49280
85风景园林,A674昆明理工大学,2,49292
1V药学,A346杭州师范大学,10,49304
30中医儿科学,A541湖南中医药大学,2,49323
0K数据科学与大数据技术,A404华东交通大学,3,49344
2P金融学(地方专项计划),A445山东师范大学,8,49351
4L生物工程,A755新疆大学,4,49362
02外国语言文学类,A289江苏科技大学,7,49370
ZP生物技术,A636四川师范大学,2,49380
20人工智能,B799重庆工商大学,1,49405
0F电子信息工程,B417北京联合大学,1,49414
16生物医学工程,E655深圳技术大学,4,49417
15应用统计学,A037北京物资学院,1,49424
0G通信工程,A404华东交通大学,5,49441
04材料类,A708陕西科技大学,2,49457
38机器人工程,A188东北电力大学,6,49460
05车辆工程,A214哈尔滨理工大学,2,49464
0W汉语言文学(师范类，非西藏生源定向西藏就业),Y006山东师范大学,2,49477
2M会计学(中外合作办学)(与澳大利亚维多利亚大学合作办学),A475河南大学,6,49494
59动物医学,A341浙江农林大学,4,49509
00工商管理类,A394福建师范大学,4,49520
07眼视光医学,A439山东第一医科大学,55,49529
15制药工程,A541湖南中医药大学,1,49551
D3行政管理,H414中国石油大学(北京)克拉玛依校区,5,49553
0L电子商务,B047上海立信会计金融学院,2,49560
4A林学,A341浙江农林大学,3,49576
32数据科学与大数据技术,A759石河子大学,4,49577
1E智能科学与技术,A424山东科技大学,52,49580
36工商管理类,A500湖北工业大学,5,49588
0K信息管理与信息系统(地方专项计划),A445山东师范大学,6,49602
26财务管理,E655深圳技术大学,2,49646
18智能制造工程,A674昆明理工大学,3,49649
23大数据管理与应用,A068天津外国语大学,2,49656
2E电子信息类(地方专项计划),A445山东师范大学,12,49659
2E应用物理学(中外合作办学),A357安徽大学,8,49662
23环境工程,A856上海工程技术大学,2,49674
05纺织类,A338浙江理工大学,2,49675
0V金融科技,B047上海立信会计金融学院,4,49678
